Year,NOC,Bronze,Gold,Silver,Total
1988,KEN,2,5,2,9
1988,KOR,12,28,37,77
1988,LIE,1,0,0,1
1988,MAR,2,1,0,3
1988,MEX,2,0,0,2
1988,MGL,1,0,0,1
1988,NED,38,6,8,52
1988,NOR,5,2,26,33
1988,NZL,16,4,4,24
1988,PAK,1,0,0,1
1988,PER,0,0,12,12
1988,PHI,1,0,0,1
1988,POL,10,2,9,21
1988,POR,0,1,0,1
1988,ROU,16,8,34,58
1988,SEN,0,0,1,1
1988,SUI,7,8,13,28
1988,SUR,0,1,0,1
1988,SWE,34,7,5,46
1988,TCH,8,3,5,16
1988,THA,1,0,0,1
1988,TUR,0,1,1,2
1988,URS,111,174,81,366
1988,USA,58,89,67,214
1988,YUG,22,15,32,69
1992,ALG,1,1,0,2
1992,ARG,2,0,0,2
1992,AUS,16,14,27,57
1992,AUT,10,9,16,35
1992,BAH,1,0,0,1
1992,BEL,2,0,1,3
1992,BRA,0,13,1,14
1992,BUL,7,3,7,17
1992,CAN,15,32,33,80
1992,CHN,19,18,48,85
1992,COL,1,0,0,1
1992,CRO,3,0,12,15
1992,CUB,14,42,13,69
1992,DEN,9,3,2,14
1992,ESP,3,48,19,70
1992,EST,2,1,0,3
1992,ETH,2,1,0,3
1992,EUN,81,127,71,279
1992,FIN,8,7,5,20
1992,FRA,44,14,11,69
1992,GBR,39,8,3,50
1992,GER,67,95,74,236
1992,GHA,20,0,0,20
1992,GRE,0,2,0,2
1992,HUN,8,14,23,45
1992,INA,1,2,3,6
1992,IOA,2,0,1,3
1992,IRI,2,0,1,3
1992,IRL,0,1,1,2
1992,ISR,1,0,1,2
1992,ITA,22,25,19,66
1992,JAM,1,0,3,4
1992,JPN,43,6,10,59
1992,KEN,2,2,4,8
1992,KOR,17,33,6,56
1992,LAT,1,0,2,3
1992,LTU,12,1,0,13
1992,LUX,0,0,2,2
1992,MAR,1,1,1,3
1992,MAS,2,0,0,2
1992,MEX,0,0,1,1
1992,MGL,2,0,0,2
1992,NAM,0,0,2,2
1992,NED,10,6,21,37
1992,NGR,4,0,7,11
1992,NOR,6,11,30,47
1992,NZL,5,1,10,16
1992,PAK,16,0,0,16
1992,PER,0,0,1,1
1992,PHI,1,0,0,1
1992,POL,19,5,22,46
1992,PRK,7,4,0,11
1992,PUR,1,0,0,1
1992,QAT,1,0,0,1
1992,ROU,14,8,31,53
1992,RSA,0,0,3,3
1992,SLO,6,0,0,6
1992,SUI,5,3,0,8
1992,SUR,1,0,0,1
1992,SWE,13,2,27,42
1992,TCH,28,4,3,35
1992,THA,1,0,0,1
1992,TPE,0,0,20,20
1992,TUR,2,2,2,6
1992,USA,87,94,57,238
1994,AUS,4,0,0,4
1994,AUT,7,2,3,12
1994,BLR,0,0,2,2
1994,CAN,5,3,29,37
1994,CHN,2,0,1,3
1994,FIN,29,0,1,30
1994,FRA,10,0,1,11
1994,GBR,3,0,0,3
1994,GER,12,18,10,40
1994,ITA,12,14,6,32
1994,JPN,2,3,5,10
1994,KAZ,0,1,2,3
1994,KOR,1,7,1,9
1994,NED,3,0,1,4
1994,NOR,5,8,17,30
1994,RUS,4,19,13,36
1994,SLO,3,0,0,3
1994,SUI,4,4,8,16
1994,SWE,0,23,1,24
1994,UKR,1,1,0,2
1994,USA,5,6,8,19
1994,UZB,0,1,0,1
1996,ALG,1,2,0,3
1996,ARG,1,0,19,20
1996,ARM,0,1,1,2
1996,AUS,84,32,16,132
1996,AUT,2,0,1,3
1996,AZE,0,0,1,1
1996,BAH,0,0,5,5
1996,BDI,0,1,0,1
1996,BEL,2,2,2,6
1996,BLR,16,1,6,23
1996,BRA,43,5,15,63
1996,BUL,6,3,12,21
1996,CAN,12,8,30,50
1996,CHN,17,19,70,106
1996,CRC,0,1,0,1
1996,CRO,0,16,12,28
1996,CUB,10,37,8,55
1996,CZE,4,4,5,13
1996,DEN,1,21,1,23
1996,ECU,0,1,0,1
1996,ESP,22,23,21,66
1996,ETH,1,2,0,3
1996,FIN,1,1,2,4
1996,FRA,20,21,10,51
1996,GBR,9,2,15,26
1996,GEO,2,0,0,2
1996,GER,47,42,35,124
1996,GRE,0,4,4,8
1996,HKG,0,1,0,1
1996,HUN,26,8,9,43
1996,INA,3,2,1,6
1996,IND,1,0,0,1
1996,IRI,1,1,1,3
1996,IRL,1,3,0,4
1996,ISR,1,0,0,1
1996,ITA,28,19,24,71
1996,JAM,12,1,3,16
1996,JPN,13,3,26,42
1996,KAZ,4,3,4,11
1996,KEN,3,1,4,8
1996,KOR,7,10,49,66
1996,LAT,0,0,1,1
1996,LTU,11,0,0,11
1996,MAR,2,0,0,2
1996,MAS,1,0,2,3
1996,MDA,1,0,2,3
1996,MEX,1,0,0,1
1996,MGL,1,0,0,1
1996,MOZ,1,0,0,1
1996,NAM,0,0,2,2
1996,NED,26,38,9,73
1996,NGR,3,17,4,24
1996,NOR,18,2,3,23
1996,NZL,4,3,2,9
1996,PHI,0,0,1,1
1996,POL,7,7,8,22
1996,POR,2,1,0,3
1996,PRK,2,2,1,5
1996,PUR,1,0,0,1
1996,ROU,15,13,10,38
1996,RSA,1,3,1,5
1996,RUS,34,36,45,115
1996,SCG,13,1,12,26
1996,SLO,0,0,2,2
1996,SUI,0,5,6,11
1996,SVK,1,1,1,3
1996,SWE,5,3,23,31
1996,SYR,0,1,0,1
1996,TGA,0,0,1,1
1996,THA,1,1,0,2
1996,TPE,0,0,1,1
1996,TTO,2,0,0,2
1996,TUN,1,0,0,1
1996,TUR,1,4,1,6
1996,UGA,1,0,0,1
1996,UKR,19,10,5,34
1996,USA,52,159,48,259
1996,UZB,1,0,1,2
1996,ZAM,0,0,1,1
1998,AUS,1,0,0,1
1998,AUT,12,3,5,20
1998,BEL,1,0,0,1
1998,BLR,2,0,0,2
1998,BUL,0,1,0,1
1998,CAN,7,14,28,49
1998,CHN,5,0,9,14
1998,CZE,1,21,1,23
1998,DEN,0,0,5,5
1998,FIN,49,2,7,58
1998,FRA,12,2,1,15
1998,GBR,4,0,0,4
1998,GER,10,22,12,44
1998,ITA,5,3,9,17
1998,JPN,4,8,1,13
1998,KAZ,2,0,0,2
1998,KOR,2,6,4,12
1998,NED,2,5,4,11
1998,NOR,12,13,15,40
1998,RUS,6,14,32,52
1998,SUI,3,6,5,14
1998,SWE,5,0,2,7
1998,UKR,0,0,1,1
1998,USA,5,25,4,34
2000,ALG,3,1,1,5
2000,ARG,3,0,17,20
2000,ARM,1,0,0,1
2000,AUS,54,60,69,183
2000,AUT,0,3,1,4
2000,AZE,1,2,0,3
2000,BAH,5,6,0,11
2000,BAR,1,0,0,1
2000,BEL,4,0,3,7
2000,BLR,11,3,8,22
2000,BRA,36,0,12,48
2000,BUL,2,5,6,13
2000,CAN,23,4,4,31
2000,CHI,17,0,0,17
2000,CHN,17,39,23,79
2000,CMR,0,18,0,18
2000,COL,0,1,0,1
2000,CRC,2,0,0,2
2000,CRO,9,1,0,10
2000,CUB,12,18,35,65
2000,CZE,4,2,3,9
2000,DEN,4,18,3,25
2000,ESP,20,3,19,42
2000,EST,2,1,0,3
2000,ETH,3,4,1,8
2000,FIN,1,3,1,5
2000,FRA,14,22,30,66
2000,GBR,12,22,20,54
2000,GEO,6,0,0,6
2000,GER,64,31,23,118
2000,GRE,8,4,6,18
2000,HUN,4,25,24,53
2000,INA,2,2,4,8
2000,IND,1,0,0,1
2000,IRI,1,3,0,4
2000,IRL,0,0,1,1
2000,ISL,1,0,0,1
2000,ISR,1,0,0,1
2000,ITA,29,22,14,65
2000,JAM,3,0,20,23
2000,JPN,8,5,31,44
2000,KAZ,0,3,4,7
2000,KEN,2,2,3,7
2000,KGZ,1,0,0,1
2000,KOR,35,12,26,73
2000,KSA,1,0,1,2
2000,KUW,1,0,0,1
2000,LAT,1,1,1,3
2000,LTU,15,2,0,17
2000,MAR,4,0,1,5
2000,MDA,1,0,1,2
2000,MEX,3,1,2,6
2000,MKD,1,0,0,1
2000,MOZ,0,1,0,1
2000,NED,23,27,29,79
2000,NGR,0,6,2,8
2000,NOR,19,20,4,43
2000,NZL,3,1,0,4
2000,POL,7,7,10,24
2000,POR,2,0,0,2
2000,PRK,3,0,1,4
2000,QAT,1,0,0,1
2000,ROU,13,27,6,46
2000,RSA,3,0,2,5
2000,RUS,54,66,67,187
2000,SCG,13,11,1,25
2000,SLO,0,3,0,3
2000,SRI,0,0,1,1
2000,SUI,2,1,11,14
2000,SVK,1,2,3,6
2000,SWE,8,4,20,32
2000,THA,2,1,0,3
2000,TPE,4,0,1,5
2000,TTO,1,0,1,2
2000,TUR,2,3,0,5
2000,UKR,12,3,20,35
2000,URU,0,0,1,1
2000,USA,51,130,61,242
2000,UZB,2,1,1,4
2000,VIE,0,0,1,1
2002,AUS,0,2,0,2
2002,AUT,13,3,4,20
2002,BLR,1,0,0,1
2002,BUL,2,0,1,3
2002,CAN,15,52,7,74
2002,CHN,9,2,5,16
2002,CRO,0,3,1,4
2002,CZE,0,1,2,3
2002,EST,1,1,1,3
2002,FIN,1,7,5,13
2002,FRA,5,5,5,15
2002,GBR,1,5,0,6
2002,GER,12,26,23,61
2002,ITA,6,4,11,21
2002,JPN,1,0,1,2
2002,KOR,0,5,2,7
2002,NED,0,3,5,8
2002,NOR,7,23,11,41
2002,POL,1,0,1,2
2002,RUS,27,6,5,38
2002,SLO,4,0,0,4
2002,SUI,14,3,7,24
2002,SWE,24,0,2,26
2002,USA,15,11,58,84
2004,ARG,21,28,0,49
2004,AUS,31,49,77,157
2004,AUT,1,3,4,8
2004,AZE,4,1,0,5
2004,BAH,1,1,0,2
2004,BEL,2,1,0,3
2004,BLR,8,2,5,15
2004,BRA,3,18,19,40
2004,BUL,14,2,1,17
2004,CAN,4,3,10,17
2004,CHI,1,3,0,4
2004,CHN,15,52,27,94
2004,CMR,0,1,0,1
2004,COL,2,0,0,2
2004,CRO,3,15,3,21
2004,CUB,22,32,8,62
2004,CZE,6,1,6,13
2004,DEN,9,19,1,29
2004,DOM,0,1,0,1
2004,EGY,3,1,1,5
2004,ERI,1,0,0,1
2004,ESP,9,4,17,30
2004,EST,2,0,1,3
2004,ETH,2,2,3,7
2004,FIN,0,0,2,2
2004,FRA,22,21,10,53
2004,GBR,15,17,25,57
2004,GEO,0,2,2,4
2004,GER,63,41,45,149
2004,GRE,5,8,18,31
2004,HKG,0,0,2,2
2004,HUN,4,24,12,40
2004,INA,3,1,1,5
2004,IND,0,0,1,1
2004,IRI,2,2,2,6
2004,ISR,1,1,0,2
2004,ITA,39,24,41,104
2004,JAM,6,6,1,13
2004,JPN,52,21,20,93
2004,KAZ,3,1,4,8
2004,KEN,2,1,4,7
2004,KOR,10,14,28,52
2004,LAT,0,0,4,4
2004,LTU,0,1,2,3
2004,MAR,0,2,1,3
2004,MEX,1,0,3,4
2004,MGL,1,0,0,1
2004,NED,22,4,51,77
2004,NGR,8,0,0,8
2004,NOR,2,5,0,7
2004,NZL,0,4,2,6
2004,PAR,0,0,17,17
2004,POL,6,4,2,12
2004,POR,1,0,2,3
2004,PRK,1,0,4,5
2004,ROU,11,23,5,39
2004,RSA,3,4,3,10
2004,RUS,95,48,46,189
2004,SCG,0,0,13,13
2004,SLO,3,0,2,5
2004,SUI,4,1,2,7
2004,SVK,5,3,2,10
2004,SWE,2,5,5,12
2004,SYR,1,0,0,1
2004,THA,4,3,1,8
2004,TPE,3,2,4,9
2004,TTO,1,0,0,1
2004,TUR,5,3,3,11
2004,UAE,0,1,0,1
2004,UKR,31,8,8,47
2004,USA,71,117,75,263
2004,UZB,2,2,1,5
2004,VEN,2,0,0,2
2004,ZIM,1,1,1,3
2006,AUS,1,1,0,2
2006,AUT,7,16,7,30
2006,BLR,0,0,1,1
2006,BUL,0,0,1,1
2006,CAN,11,30,28,69
2006,CHN,6,2,5,13
2006,CRO,0,1,2,3
2006,CZE,24,1,2,27
2006,EST,0,3,0,3
2006,FIN,7,0,34,41
2006,FRA,10,3,2,15
2006,GBR,0,0,1,1
2006,GER,6,23,25,54
2006,ITA,14,11,0,25
2006,JPN,0,1,0,1
2006,KOR,2,14,3,19
2006,LAT,1,0,0,1
2006,NED,8,3,2,13
2006,NOR,12,2,9,23
2006,POL,1,0,1,2
2006,RUS,13,16,12,41
2006,SUI,9,5,7,21
2006,SVK,0,0,1,1
2006,SWE,8,35,21,64
2006,UKR,3,0,0,3
2006,USA,32,9,11,52
2008,AFG,1,0,0,1
2008,ALG,1,0,1,2
2008,ARG,31,20,0,51
2008,ARM,6,0,0,6
2008,AUS,76,31,42,149
2008,AUT,2,0,1,3
2008,AZE,4,1,2,7
2008,BAH,1,0,6,7
2008,BEL,0,1,4,5
2008,BLR,16,8,5,29
2008,BRA,30,14,34,78
2008,BUL,3,1,1,5
2008,CAN,11,11,13,35
2008,CHI,0,0,1,1
2008,CHN,57,74,53,184
2008,CMR,0,1,0,1
2008,COL,1,0,1,2
2008,CRO,3,0,2,5
2008,CUB,11,2,34,47
2008,CZE,0,3,4,7
2008,DEN,6,6,7,19
2008,DOM,0,1,1,2
2008,ECU,0,0,1,1
2008,EGY,1,0,0,1
2008,ESP,16,7,47,70
2008,EST,0,1,2,3
2008,ETH,2,4,1,7
2008,FIN,2,1,2,5
2008,FRA,28,25,24,77
2008,GBR,25,31,25,81
2008,GEO,3,3,0,6
2008,GER,41,42,16,99
2008,GRE,4,0,3,7
2008,HUN,3,16,8,27
2008,INA,3,2,2,7
2008,IND,2,1,0,3
2008,IRI,1,1,0,2
2008,IRL,2,0,1,3
2008,ISL,0,0,14,14
2008,ISR,1,0,0,1
2008,ITA,20,8,14,42
2008,JAM,6,5,3,14
2008,JPN,13,23,15,51
2008,KAZ,7,2,4,13
2008,KEN,5,6,4,15
2008,KGZ,1,0,1,2
2008,KOR,26,41,11,78
2008,LAT,1,1,1,3
2008,LTU,3,0,2,5
2008,MAR,1,0,1,2
2008,MAS,0,0,1,1
2008,MDA,1,0,0,1
2008,MEX,2,2,0,4
2008,MGL,0,2,2,4
2008,MRI,1,0,0,1
2008,NED,4,39,18,61
2008,NGR,7,0,16,23
2008,NOR,1,16,5,22
2008,NZL,9,4,2,15
2008,PAN,0,1,0,1
2008,POL,1,6,13,20
2008,POR,0,1,1,2
2008,PRK,3,2,1,6
2008,ROU,16,5,1,22
2008,RSA,0,0,1,1
2008,RUS,53,43,46,142
2008,SGP,0,0,3,3
2008,SLO,2,1,2,5
2008,SRB,14,0,1,15
2008,SUD,0,0,1,1
2008,SUI,7,3,1,11
2008,SVK,1,4,5,10
2008,SWE,2,0,5,7
2008,THA,0,2,2,4
2008,TJK,1,0,1,2
2008,TOG,1,0,0,1
2008,TPE,4,0,0,4
2008,TTO,0,5,1,6
2008,TUN,0,1,0,1
2008,TUR,3,1,3,7
2008,UKR,16,10,5,31
2008,USA,80,127,110,317
2008,UZB,3,1,2,6
2008,VEN,1,0,0,1
2008,VIE,0,0,1,1
2008,ZIM,0,1,3,4
2010,AUS,0,2,1,3
2010,AUT,6,11,9,26
2010,BLR,1,1,1,3
2010,CAN,8,67,15,90
2010,CHN,7,9,3,19
2010,CRO,1,0,2,3
2010,CZE,7,2,0,9
2010,EST,0,0,1,1
2010,FIN,46,0,1,47
2010,FRA,6,2,6,14
2010,GBR,0,1,0,1
2010,GER,15,15,24,54
2010,ITA,3,1,1,5
2010,JPN,2,0,5,7
2010,KAZ,0,0,1,1
2010,KOR,2,6,10,18
2010,LAT,0,0,3,3
2010,NED,6,4,1,11
2010,NOR,9,16,14,39
2010,POL,4,1,3,8
2010,RUS,14,6,5,25
2010,SLO,1,0,2,3
2010,SUI,6,6,0,12
2010,SVK,1,1,1,3
2010,SWE,4,11,3,18
2010,USA,22,12,63,97
2012,AFG,1,0,0,1
2012,ALG,0,1,0,1
2012,ARG,3,1,15,19
2012,ARM,2,0,1,3
2012,AUS,59,18,37,114
2012,AZE,6,2,2,10
2012,BAH,0,4,0,4
2012,BEL,2,0,1,3
2012,BLR,8,3,12,23
2012,BOT,0,0,1,1
2012,BRA,11,14,34,59
2012,BRN,1,0,0,1
2012,BUL,1,0,1,2
2012,CAN,33,1,21,55
2012,CHN,29,56,40,125
2012,COL,4,1,3,8
2012,CRO,16,15,4,35
2012,CUB,6,5,3,14
2012,CYP,0,0,1,1
2012,CZE,6,4,4,14
2012,DEN,8,3,5,16
2012,DOM,0,1,1,2
2012,EGY,0,0,2,2
2012,ESP,25,5,33,63
2012,EST,1,0,1,2
2012,ETH,3,3,1,7
2012,FIN,4,0,1,5
2012,FRA,22,30,30,82
2012,GAB,0,0,1,1
2012,GBR,48,48,30,126
2012,GEO,3,1,3,7
2012,GER,22,45,27,94
2012,GRE,3,0,0,3
2012,GRN,0,1,0,1
2012,GUA,0,0,1,1
2012,HKG,1,0,0,1
2012,HUN,6,12,8,26
2012,INA,1,0,1,2
2012,IND,4,0,2,6
2012,IRI,3,4,5,12
2012,IRL,3,1,1,5
2012,ITA,30,16,22,68
2012,JAM,8,8,9,25
2012,JPN,33,7,44,84
2012,KAZ,5,7,1,13
2012,KEN,5,2,4,11
2012,KOR,30,18,13,61
2012,KSA,4,0,0,4
2012,KUW,1,0,0,1
2012,LAT,2,1,0,3
2012,LTU,2,2,1,5
2012,MAR,1,0,0,1
2012,MAS,1,0,1,2
2012,MDA,2,0,0,2
2012,MEX,3,16,5,24
2012,MGL,3,0,2,5
2012,MNE,0,0,14,14
2012,NED,19,21,29,69
2012,NOR,1,15,1,17
2012,NZL,15,9,3,27
2012,POL,8,2,2,12
2012,POR,0,0,2,2
2012,PRK,2,4,0,6
2012,PUR,1,0,1,2
2012,QAT,2,0,0,2
2012,ROU,6,2,8,16
2012,RSA,1,6,2,9
2012,RUS,51,50,39,140
2012,SGP,4,0,0,4
2012,SLO,3,1,1,5
2012,SRB,14,1,1,16
2012,SUI,0,2,2,4
2012,SVK,4,0,1,5
2012,SWE,3,2,17,22
2012,THA,1,0,2,3
2012,TJK,1,0,0,1
2012,TPE,1,0,1,2
2012,TTO,5,1,4,10
2012,TUN,1,1,1,3
2012,TUR,1,2,2,5
2012,UGA,0,1,0,1
2012,UKR,12,9,5,26
2012,USA,46,145,57,248
2012,UZB,2,1,0,3
2012,VEN,0,1,0,1
2014,AUS,1,0,2,3
2014,AUT,11,4,12,27
2014,BLR,1,5,0,6
2014,CAN,5,59,22,86
2014,CHN,5,3,4,12
2014,CRO,0,0,1,1
2014,CZE,2,2,7,11
2014,FIN,24,2,7,33
2014,FRA,10,4,4,18
2014,GBR,5,1,4,10
2014,GER,9,15,12,36
2014,ITA,12,0,2,14
2014,JPN,6,1,4,11
2014,KAZ,1,0,0,1
2014,KOR,2,7,5,14
2014,LAT,6,0,5,11
2014,NED,9,13,7,29
2014,NOR,13,18,5,36
2014,POL,3,4,4,11
2014,RUS,13,33,22,68
2014,SLO,4,2,2,8
2014,SUI,20,6,4,30
2014,SVK,0,1,0,1
2014,SWE,11,8,32,51
2014,UKR,1,4,0,5
2014,USA,24,10,30,64
2016,ALG,0,0,2,2
2016,ARG,0,21,1,22
2016,ARM,0,1,3,4
2016,AUS,25,23,34,82
2016,AUT,2,0,0,2
2016,AZE,10,1,7,18
2016,BAH,5,1,0,6
2016,BDI,0,0,1,1
2016,BEL,2,2,17,21
2016,BLR,7,1,4,12
2016,BRA,6,36,8,50
2016,BRN,0,1,1,2
2016,BUL,6,0,1,7
2016,CAN,61,4,4,69
2016,CHN,37,46,30,113
2016,CIV,1,1,0,2
2016,COL,3,3,2,8
2016,CRO,2,7,15,24
2016,CUB,4,5,2,11
2016,CZE,12,1,2,15
2016,DEN,16,15,10,41
2016,DOM,1,0,0,1
2016,EGY,3,0,0,3
2016,ESP,17,9,19,45
2016,EST,4,0,0,4
2016,ETH,5,1,2,8
2016,FIJ,0,13,0,13
2016,FIN,1,0,0,1
2016,FRA,21,20,55,96
2016,GBR,26,64,55,145
2016,GEO,4,2,1,7
2016,GER,67,49,43,159
2016,GRE,3,3,1,7
2016,GRN,0,0,1,1
2016,HUN,7,12,3,22
2016,INA,0,2,2,4
2016,IND,1,0,1,2
2016,IOA,1,1,0,2
2016,IRI,4,3,1,8
2016,IRL,0,0,3,3
2016,ISR,2,0,0,2
2016,ITA,24,8,40,72
2016,JAM,2,11,17,30
2016,JOR,0,1,0,1
2016,JPN,34,17,13,64
2016,KAZ,10,3,5,18
2016,KEN,1,6,6,13
2016,KOR,10,13,3,26
2016,KOS,0,1,0,1
2016,LTU,5,0,2,7
2016,MAR,1,0,0,1
2016,MAS,1,0,7,8
2016,MEX,2,0,3,5
2016,MGL,1,0,1,2
2016,NED,13,9,25,47
2016,NGR,18,0,0,18
2016,NIG,0,0,1,1
2016,NOR,19,0,0,19
2016,NZL,5,6,25,36
2016,PHI,0,0,1,1
2016,POL,10,3,3,16
2016,POR,1,0,0,1
2016,PRK,2,2,3,7
2016,PUR,0,1,0,1
2016,QAT,0,0,1,1
2016,ROU,10,4,2,16
2016,RSA,14,2,7,23
2016,RUS,35,52,28,115
2016,SGP,0,1,0,1
2016,SLO,1,1,2,4
2016,SRB,13,14,27,54
2016,SUI,2,6,3,11
2016,SVK,0,3,5,8
2016,SWE,3,2,23,28
2016,THA,2,2,2,6
2016,TJK,0,1,0,1
2016,TPE,4,1,0,5
2016,TTO,1,0,0,1
2016,TUN,3,0,0,3
2016,TUR,4,1,3,8
2016,UAE,1,0,0,1
2016,UKR,5,2,8,15
2016,USA,71,139,54,264
2016,UZB,7,4,2,13
2016,VEN,2,0,1,3
2016,VIE,0,1,1,2
